id,token_number,appointment_id,hospital_id,department_id,doctor_id,issued_at,called_at,queue_position_at_issue,patients_ahead_at_issue
qtok_0402543bd088,CAR-0003,appt_f7aeafe4f53e,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-11 15:43:00,2026-06-11 16:08:00,3,2
qtok_fdf5c1fd51f3,CAR-0004,appt_e6f8e5ba8768,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-11 15:46:00,2026-06-11 16:12:00,4,4
qtok_a935b237c91a,CAR-0005,appt_90ab3ee522b1,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-11 16:29:00,2026-06-11 16:59:00,5,4
qtok_5fedd656a0ce,CAR-0006,appt_f5448abd8b66,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-11 16:23:00,2026-06-11 16:57:00,6,5
qtok_7364895ff203,CAR-0007,appt_e905d189528e,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-11 17:15:00,2026-06-11 17:49:00,7,5
qtok_4ec0ae066aa9,CAR-0008,appt_b467ecae62ae,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-11 17:45:00,2026-06-11 18:25:00,8,6
qtok_700e1469a29b,CAR-0001,appt_b419483b0ea0,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-15 09:54:00,2026-06-15 10:01:00,1,1
qtok_5dd8c198bc28,CAR-0002,appt_50a3ff172c0d,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-15 10:15:00,2026-06-15 10:39:00,2,0
qtok_507e9ded0b69,CAR-0003,appt_2b62528c7685,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-15 10:41:00,2026-06-15 11:07:00,3,3
qtok_010ce3233e8c,CAR-0004,appt_448d881cca91,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-15 10:40:00,2026-06-15 11:07:00,4,4
qtok_e314d9bbe81e,CAR-0005,appt_7db7f6a85bed,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-15 11:08:00,2026-06-15 11:43:00,5,3
qtok_2f332eadee90,CAR-0007,appt_d9367bbf4f83,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-15 11:40:00,2026-06-15 12:13:00,7,6
qtok_f81d012c7e6c,CAR-0008,appt_63e4fc64e829,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-15 11:54:00,2026-06-15 12:39:00,8,6
qtok_d101f2e5b822,CAR-0001,appt_6f300e5ba987,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-16 08:40:00,2026-06-16 08:55:00,1,1
qtok_6dc37af4b474,CAR-0002,appt_f191b996c437,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-16 08:31:00,2026-06-16 08:48:00,2,1
qtok_fcaa92bd0d5f,CAR-0003,appt_0387f7e29a6e,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-16 08:55:00,2026-06-16 09:21:00,3,3
qtok_64bf8a04339f,CAR-0004,appt_a4426814b6dd,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-16 09:10:00,2026-06-16 09:40:00,4,4
qtok_977255e0eca6,CAR-0005,appt_b62a960b0d00,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-16 09:48:00,2026-06-16 10:19:00,5,4
qtok_cc2c07c5e803,CAR-0006,appt_72480939cb76,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-16 10:01:00,2026-06-16 10:45:00,6,4
qtok_612138099668,CAR-0007,appt_004e890af957,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-16 10:05:00,2026-06-16 10:46:00,7,5
qtok_3d1cd0e1f159,CAR-0008,appt_ac84be8bcbf5,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-16 10:28:00,2026-06-16 11:22:00,8,8
qtok_ea1ab95ff063,CAR-0009,appt_d7209033d2de,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-16 10:53:00,2026-06-16 12:06:00,9,8
qtok_71a02aa3b0dc,CAR-0001,appt_637eac4404f4,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-18 09:00:00,2026-06-18 09:08:00,1,1
qtok_37c75c4ec2a0,CAR-0002,appt_ff79d104a4bd,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-18 09:26:00,2026-06-18 09:40:00,2,1
qtok_c0445a375ab9,CAR-0003,appt_ad43f9f7029c,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-18 09:53:00,2026-06-18 10:21:00,3,2
qtok_07e2767221f7,CAR-0004,appt_8f2d052521cf,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-18 10:25:00,2026-06-18 10:50:00,4,2
qtok_9896729dd615,CAR-0005,appt_20b7876c38a7,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-18 10:37:00,2026-06-18 11:09:00,5,5
qtok_fb5a1db15a5c,CAR-0006,appt_72a2593a9cea,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-18 10:46:00,2026-06-18 11:27:00,6,6
qtok_c2e2cab665cb,CAR-0007,appt_372592883d21,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-18 10:52:00,2026-06-18 11:32:00,7,7
qtok_9216d2b236d9,CAR-0008,appt_121d2e7f2fb2,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-18 11:27:00,2026-06-18 12:06:00,8,8
qtok_0953ddffc915,CAR-0009,appt_0ff6acff9b7b,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-18 11:31:00,2026-06-18 12:09:00,9,7
qtok_d158d358fb01,CAR-0011,appt_51977048c724,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-18 12:08:00,2026-06-18 13:03:00,11,9
qtok_c11f4dda9d74,CAR-0001,appt_d21a0d6644a0,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-18 13:50:00,2026-06-18 14:07:00,1,0
qtok_797e7a1f2626,CAR-0002,appt_3e91f465391d,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-18 14:49:00,2026-06-18 15:12:00,2,1
qtok_2c835c5e38e8,CAR-0003,appt_4eda3207f56b,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-18 15:14:00,2026-06-18 15:44:00,3,2
qtok_5a6ab65e2305,CAR-0004,appt_8a035d3d5e5c,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-18 15:36:00,2026-06-18 16:05:00,4,2
qtok_76f9d286dab7,CAR-0005,appt_0511202a8fdd,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-18 15:54:00,2026-06-18 16:24:00,5,4
qtok_12f98b7647f7,CAR-0007,appt_251d3c064ea5,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-18 16:59:00,2026-06-18 17:55:00,7,7
qtok_0f67353d1636,CAR-0001,appt_4ae247993804,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-22 09:00:00,2026-06-22 09:17:00,1,0
qtok_9bd7208f4ec0,CAR-0002,appt_552c38cef0c3,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-22 09:15:00,2026-06-22 09:39:00,2,2
qtok_bc486be2306e,CAR-0004,appt_b229ee035e8b,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-22 09:44:00,2026-06-22 10:16:00,4,3
qtok_3b335e29ec89,CAR-0005,appt_c34cf99473d9,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-22 10:18:00,2026-06-22 11:01:00,5,4
qtok_18093752edf5,CAR-0006,appt_652fa60218ba,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-22 10:30:00,2026-06-22 11:05:00,6,5
qtok_11203b9f5b7b,CAR-0007,appt_e201bba6a3aa,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-22 10:54:00,2026-06-22 11:28:00,7,7
qtok_339fbb1b30b1,CAR-0008,appt_9bfeac34fba3,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-22 11:30:00,2026-06-22 12:03:00,8,7
qtok_3146da1db49b,CAR-0001,appt_d4d904df8fca,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-23 08:05:00,2026-06-23 08:18:00,1,1
qtok_ea66646efea5,CAR-0002,appt_b5b9b6335788,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-23 08:18:00,2026-06-23 08:37:00,2,1
qtok_2ed3c10c56e7,CAR-0003,appt_5910211c2319,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-23 09:11:00,2026-06-23 09:38:00,3,1
qtok_7ad6417ade4d,CAR-0004,appt_2343cdbb9d79,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-23 09:34:00,2026-06-23 10:03:00,4,4
qtok_63f900162523,CAR-0005,appt_c013dd1da71a,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-23 09:38:00,2026-06-23 10:10:00,5,5
qtok_4ec8a38d08af,CAR-0006,appt_3f7a4a4c5a8f,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-23 09:35:00,2026-06-23 10:17:00,6,5
qtok_b34d05ba4a7d,CAR-0007,appt_ba07285c3a73,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-23 09:56:00,2026-06-23 10:38:00,7,7
qtok_c681b91e5895,CAR-0008,appt_ba77d31d013f,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-23 09:50:00,2026-06-23 10:39:00,8,6
qtok_7a12c6333438,CAR-0010,appt_30e6e9be01a7,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-23 10:20:00,2026-06-23 11:10:00,10,10
qtok_07d960b58698,CAR-0011,appt_376a07dbe3a6,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-23 10:30:00,2026-06-23 11:40:00,11,10
qtok_0252c693af89,CAR-0012,appt_70f643eeb4f5,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-23 10:40:00,2026-06-23 11:57:00,12,12
qtok_2b111c336102,CAR-0001,appt_7c5c729d9d70,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-25 08:52:00,2026-06-25 09:06:00,1,0
qtok_865936351b97,CAR-0002,appt_3ea148a85bdd,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-25 09:23:00,2026-06-25 09:43:00,2,0
qtok_a159311763ec,CAR-0004,appt_9cfb75a2a4b3,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-25 10:32:00,2026-06-25 11:00:00,4,2
qtok_5ea08faaa8a2,CAR-0005,appt_0ba1cf46c4a7,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-25 10:46:00,2026-06-25 11:16:00,5,3
qtok_4299c2b525b1,CAR-0006,appt_d1eef90eed08,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-25 11:00:00,2026-06-25 11:35:00,6,5
qtok_c5dcd5f05daa,CAR-0007,appt_7f0e1aa72ba6,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-25 11:41:00,2026-06-25 12:07:00,7,5
qtok_b90857429758,CAR-0008,appt_74822aa411c1,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-25 11:39:00,2026-06-25 12:15:00,8,8
qtok_d3b727d66882,CAR-0009,appt_cac5e507ddac,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-25 12:43:00,2026-06-25 13:31:00,9,8
qtok_43d5118c3b0f,CAR-0002,appt_18d67fe8897a,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-25 14:20:00,2026-06-25 14:38:00,2,0
qtok_a09e256d0223,CAR-0003,appt_aadb7ca98c17,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-25 14:53:00,2026-06-25 15:15:00,3,3
qtok_b8cbd593db5a,CAR-0004,appt_4350f9260c59,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-25 15:21:00,2026-06-25 15:42:00,4,3
qtok_5228643df642,CAR-0006,appt_f94085fa5dbb,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-25 15:59:00,2026-06-25 16:31:00,6,4
qtok_24a131c33584,CAR-0007,appt_182f575869d7,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-25 16:22:00,2026-06-25 16:59:00,7,5
qtok_0b5a88f680e8,CAR-0008,appt_c0dcd6593bff,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-25 16:32:00,2026-06-25 17:19:00,8,7
qtok_fa11a870653a,CAR-0009,appt_0556d894737a,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-25 16:46:00,2026-06-25 17:37:00,9,9
qtok_0db01e83310f,CAR-0010,appt_62aa2f4387bc,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-25 17:25:00,2026-06-25 18:06:00,10,8
qtok_e23bdc6010c5,CAR-0011,appt_8d764c393929,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-25 17:34:00,2026-06-25 18:29:00,11,9
qtok_179b306342b5,CAR-0002,appt_664f7d26fcb4,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-29 09:30:00,2026-06-29 09:45:00,2,2
qtok_c63db3d61258,CAR-0003,appt_f810ff9ed4e2,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-29 09:37:00,2026-06-29 09:56:00,3,1
qtok_a5522145ec7a,CAR-0004,appt_836aaff9601a,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-29 09:38:00,2026-06-29 10:05:00,4,4
qtok_69f9d59c5c0f,CAR-0005,appt_6c6cd86fff80,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-29 09:59:00,2026-06-29 10:29:00,5,5
qtok_d8d2d8d61eaa,CAR-0006,appt_e064dc8a9965,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-29 10:26:00,2026-06-29 11:08:00,6,5
qtok_df4c437e83d4,CAR-0007,appt_e9ffaa10a1ac,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-29 10:34:00,2026-06-29 11:09:00,7,7
qtok_396737c9598a,CAR-0008,appt_328dc268b455,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-29 11:26:00,2026-06-29 12:19:00,8,8
qtok_477d848a60fd,CAR-0009,appt_455de3e91642,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-29 11:40:00,2026-06-29 12:19:00,9,9
qtok_d100dc146db1,CAR-0001,appt_6e2d9f7df646,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-30 08:04:00,2026-06-30 08:24:00,1,0
qtok_a39aedb7e9bb,CAR-0002,appt_2264e1eccd7d,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-30 08:31:00,2026-06-30 08:49:00,2,1
qtok_8d3766937654,CAR-0003,appt_7e1572a9bf39,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-30 08:43:00,2026-06-30 09:05:00,3,1
qtok_4376c84e8bd1,CAR-0005,appt_03b681373ced,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-30 09:20:00,2026-06-30 09:54:00,5,4
qtok_1fc39e02ac7e,CAR-0006,appt_daf4ac1e6bbe,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-30 09:57:00,2026-06-30 10:26:00,6,5
qtok_d92ecb909e68,CAR-0008,appt_88e2236e25ae,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-30 10:45:00,2026-06-30 11:28:00,8,8
qtok_07e905100eb5,CAR-0009,appt_26eb1bb686a0,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-06-30 10:41:00,2026-06-30 11:33:00,9,9
qtok_7bf3474fa847,CAR-0001,appt_f783ccb24c12,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-02 09:15:00,2026-07-02 09:27:00,1,0
qtok_59a289d717a4,CAR-0002,appt_1ccf95e72d26,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-02 09:15:00,2026-07-02 09:38:00,2,1
qtok_57a81b5ae006,CAR-0003,appt_9a37fc04914c,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-02 10:10:00,2026-07-02 10:24:00,3,2
qtok_fc38a6a4566b,CAR-0004,appt_8b05053ac6a9,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-02 10:07:00,2026-07-02 10:25:00,4,2
qtok_5040e46c1718,CAR-0005,appt_afcf3440ef5e,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-02 10:34:00,2026-07-02 11:07:00,5,5
qtok_a426e5b55f4c,CAR-0006,appt_1ba0a4827ff1,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-02 11:02:00,2026-07-02 11:39:00,6,4
qtok_fec12fd05456,CAR-0008,appt_047d12feb61b,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-02 11:40:00,2026-07-02 12:31:00,8,7
qtok_16c89eb8b52c,CAR-0002,appt_693dcd8a4433,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-02 14:12:00,2026-07-02 14:34:00,2,1
qtok_4e84845aa2b3,CAR-0004,appt_fa0ef5857258,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-02 15:39:00,2026-07-02 16:07:00,4,2
qtok_3decaf5baf8c,CAR-0005,appt_c6526018cb67,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-02 16:07:00,2026-07-02 16:27:00,5,4
qtok_9140e281b533,CAR-0007,appt_7839e96e9305,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-02 16:35:00,2026-07-02 17:17:00,7,5
qtok_cabfb29bbee4,CAR-0001,appt_79e51eb4298e,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-06 09:21:00,2026-07-06 09:39:00,1,0
qtok_908cad5cb908,CAR-0002,appt_c8c3341756e2,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-06 10:12:00,2026-07-06 10:28:00,2,1
qtok_6370bc8419b3,CAR-0003,appt_c61f1af96966,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-06 10:10:00,2026-07-06 10:34:00,3,2
qtok_9de019e9d421,CAR-0004,appt_983f8ec14943,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-06 10:36:00,2026-07-06 11:09:00,4,2
qtok_0f2a276db600,CAR-0006,appt_a37da4d55c27,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-06 10:52:00,2026-07-06 11:19:00,6,4
qtok_1c96f85a9802,CAR-0007,appt_94619f50805d,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-06 11:24:00,2026-07-06 12:06:00,7,5
qtok_2032ccbb898b,CAR-0008,appt_e7e09357f905,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-06 11:45:00,2026-07-06 12:12:00,8,6
qtok_acfa75bfe4f6,CAR-0009,appt_225f6fe9285e,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-06 11:47:00,2026-07-06 12:33:00,9,8
qtok_11e18eed1f96,CAR-0001,appt_1d73fb0d9067,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-07 08:19:00,2026-07-07 08:27:00,1,0
qtok_3452e4bb0b52,CAR-0002,appt_8cfc4fc93c5c,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-07 09:01:00,2026-07-07 09:22:00,2,1
qtok_16fc59882aca,CAR-0003,appt_7716a22f4963,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-07 09:22:00,2026-07-07 09:39:00,3,2
qtok_70ddaa08085a,CAR-0004,appt_a5ffe733fcf0,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-07 09:25:00,2026-07-07 09:58:00,4,3
qtok_e7fdd93c7429,CAR-0006,appt_d5ebb2c5ccf2,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-07 09:52:00,2026-07-07 10:35:00,6,6
qtok_6815928af1a9,CAR-0007,appt_28e458f48381,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-07 10:22:00,2026-07-07 10:53:00,7,6
qtok_46b7269e18d7,CAR-0008,appt_ac08767b7f1f,hosp_83b025a86289,dept_f5c547ce04dd,doc_2f2d123240f4,2026-07-07 10:16:00,2026-07-07 10:55:00,8,6
